sample_id,iteration,seed,Total share infected,Peak share infected
11,5,167282676892735556415873747851911070141,0.2532467532467532,0.09956709956709957
11,6,48808189577588632332982434154625096172,0.2922077922077922,0.10606060606060606
11,7,49230555716520391322529631499339420170,0.23376623376623376,0.09956709956709957
11,8,227630947608542376709277283709037445630,0.23809523809523808,0.09956709956709957
11,9,179580661058189464705247247001201296671,0.29004329004329005,0.11038961038961038
12,0,52752048564667035680142582971957720820,0.36768447837150126,0.1361323155216285
12,1,248359029690282812632723679554833741055,0.3727735368956743,0.15139949109414758
12,2,120742251106486516877804702577309987882,0.3371501272264631,0.13740458015267176
12,3,60679569126743290952419100165609699167,0.41348600508905853,0.1475826972010178
12,4,79625432279370248913866266266763147972,0.3816793893129771,0.13358778625954199
12,5,237357113189686325100850823735753492340,0.39567430025445294,0.15776081424936386
12,6,30689975985037071786557228205359168075,0.41857506361323155,0.1628498727735369
12,7,27293130653834401961845547896319143278,0.3982188295165394,0.14631043256997456
12,8,198120448325794808279436852241996916735,0.4262086513994911,0.17302798982188294
12,9,124665464010106498241507736192172883947,0.3486005089058524,0.14376590330788805
13,0,276049549584247707241758465678116392928,0.28270042194092826,0.10126582278481013
13,1,102646546826989414921530850109967314173,0.38396624472573837,0.15611814345991562
13,2,241124926819212818314525238383097316143,0.4472573839662447,0.18143459915611815
13,3,290333999213914601769564983509231110162,0.31223628691983124,0.1350210970464135
13,4,317115585118841673497545587086443022902,0.4050632911392405,0.16877637130801687
13,5,82488545829916735194367059158956588088,0.4472573839662447,0.16455696202531644
13,6,201522455249479101775200368875855956885,0.3037974683544304,0.13924050632911392
13,7,81808182796151253209785551477514987162,0.3206751054852321,0.1518987341772152
13,8,60042421011735205213355243646718592031,0.3628691983122363,0.1518987341772152
13,9,51851601913681071476327024145350900786,0.5021097046413502,0.22784810126582278
14,0,19276945621764513649288421419278950332,0.7900763358778626,0.3142493638676845
14,1,284777418106541820864134483106715582188,0.7137404580152672,0.3333333333333333
14,2,108788275533962856267313675983611919432,0.7748091603053435,0.31679389312977096
14,3,167726278704900138076678150279353218222,0.787531806615776,0.3346055979643766
14,4,67878855199840629836425937767450675735,0.6895674300254453,0.3282442748091603
14,5,99669267613425370376701776611365282310,0.8180661577608143,0.3460559796437659
14,6,77948990261990020787105094831464029403,0.6972010178117048,0.31679389312977096
14,7,30462091615988741793014145840706343382,0.8460559796437659,0.33078880407124683
14,8,62333718005772487013447859128337609313,0.7620865139949109,0.31679389312977096
14,9,54152369352862535596793941954594032577,0.7379134860050891,0.33587786259541985
15,0,124339139251584836915531411611687908385,0.14376590330788805,0.09923664122137404
15,1,131184420613842239511279499067551115122,0.15903307888040713,0.09923664122137404
15,2,287647390121419919601315523150579834133,0.15012722646310434,0.09923664122137404
15,3,232649838520776808900377794966123796858,0.16793893129770993,0.09923664122137404
15,4,98387909819660837944993535821615711225,0.16412213740458015,0.09923664122137404
15,5,132650482316749997722848087758161717148,0.15139949109414758,0.09923664122137404
15,6,99239560129953512938359961654817120153,0.16412213740458015,0.09923664122137404
15,7,228602867600496760186123585583249372224,0.15521628498727735,0.09923664122137404
15,8,138135547556568173756856338680983737997,0.16030534351145037,0.09923664122137404
15,9,253836761597320272823252033212262982645,0.1450381679389313,0.09923664122137404
16,0,236883399956175544557365192581147188953,0.3486005089058524,0.13358778625954199
16,1,135809568981613045070019313264368937355,0.4033078880407125,0.15012722646310434
16,2,75238416992943834865186326973000927249,0.3282442748091603,0.13486005089058525
16,3,64804807859673385793859119155460052226,0.37659033078880405,0.14249363867684478
16,4,165252526813028449700722432401678721819,0.3994910941475827,0.14631043256997456
16,5,161692731605789620796539557983934557954,0.40966921119592875,0.1450381679389313
16,6,335425356102668594735428454635309960774,0.47837150127226463,0.17048346055979643
16,7,149710024244527769493350747488990613113,0.4198473282442748,0.1692111959287532
16,8,290950706638539385284716737283532742025,0.4669211195928753,0.15394402035623408
16,9,337736691485697751853203246323879491586,0.4440203562340967,0.15267175572519084
17,0,26791909382189839678487146377179141332,0.37130801687763715,0.11392405063291139
17,1,336832715844654004832642178201370259623,0.3291139240506329,0.10548523206751055
17,2,147647017360070524873682916614451983735,0.3459915611814346,0.0970464135021097
17,3,166184659920162996539394447623676998047,0.42616033755274263,0.12236286919831224
17,4,63671196036849802247693423048241765891,0.4641350210970464,0.15611814345991562
17,5,165365272007952363653428877553639564899,0.34177215189873417,0.12236286919831224
17,6,115627115561226408639028849785388302961,0.3333333333333333,0.0970464135021097
17,7,172130256753213395471492429937319463687,0.3206751054852321,0.0970464135021097
17,8,6896605083034248883069095023413584019,0.350210970464135,0.1350210970464135
